N,sample_index,sample_seed,projection_model,status,is_nontrivial,knot_label,knot_types,determinant,alexander_roots,vassiliev_2,vassiliev_3,gauss_code,simplified_gauss_code,crossing_count,simplified_crossing_count,edge_length_min,edge_length_mean,edge_length_rms,edge_length_max,cycle_distortion,pair_distance_min,pair_distance_mean,pair_distance_rms,pair_distance_std,pair_distance_max,pair_distance_distortion,pair_abs_ratio_min,pair_abs_ratio_mean,pair_abs_ratio_rms,pair_abs_ratio_max,pair_rms_scale_to_simplex,pair_normalized_ratio_min,pair_normalized_ratio_mean,pair_normalized_ratio_max,min_nonadjacent_segment_distance,embedded_numerically,fast_mode_requested,fast_backend_available,messages
6,901,45711422,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,1-a",----,1,0,0.7536155653009619,1.1202561413174847,1.1413413223322684,1.4114466104488108,1.872900024145785,0.7429904384161742,1.0730976497421392,1.0954451150103321,0.2201395787174502,1.4114466104488108,1.8996834110780463,0.5253735773608427,0.7587946250080132,0.7745966692414833,0.9980434695311213,1.2909944487358058,0.6782543718853193,0.9795996486159126,1.288468578761701,0.0242487528163899,True,True,true,
6,902,430317846,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,1-a",----,1,0,0.5442045788820367,0.9172103779994059,0.9694199777749486,1.323941360322397,2.432800846773798,0.5442045788820367,1.0556683670278904,1.0954451150103321,0.29251375840576627,1.3793688408101787,2.5346512953709905,0.3848107480802575,0.7464702610095504,0.7745966692414833,0.9753610610943046,1.2909944487358058,0.4967885395854851,0.9636889631096975,1.2591857153858126,0.38679508158083625,True,True,true,
6,903,2847528407,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,----,----,0,0,0.748426729148246,1.0236301472707465,1.0364835664699001,1.2907273319102952,1.7245874334007545,0.5893522422261444,1.0678906351609678,1.0954451150103321,0.24415075534493938,1.3875434589339184,2.3543534061952287,0.41673496698560336,0.7551127096879297,0.7745966692414833,0.9811413890032115,1.2909944487358058,0.5380025289725132,0.9748463163769693,1.2666480866280838,0.5098996994727586,True,True,true,
6,904,3858205505,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2+a,2-a,1+a",----,2,0,0.7573502791232868,1.0709616266587274,1.0883364898794667,1.346053974099015,1.777320232399221,0.42588338816373605,1.0688471035646683,1.0954451150103324,0.23992888363308598,1.390739408150132,3.265540396272619,0.30114503176528035,0.755789034982177,0.7745966692414834,0.983401266366324,1.2909944487358056,0.3887765642733448,0.975719448577382,1.2695655757586854,0.052626015941849284,True,True,true,
6,905,1942097724,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-c,2-a,2+a,1+c",----,2,0,0.20373231343557538,1.0621147821010233,1.13142905678763,1.3151304568903108,6.455188353349671,0.20373231343557538,1.0499711525972444,1.0954451150103324,0.3123468884327395,1.408175153083828,6.911889082971238,0.1440605003771185,0.7424417220517667,0.7745966692414834,0.9957301998439794,1.2909944487358056,0.18598130626896242,0.9584881416786826,1.2854821604371716,0.011898137599614379,True,True,true,
6,906,831912293,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,----,----,0,0,0.5668026476945981,1.064938360101241,1.0930416206100353,1.284411459036295,2.2660646774684006,0.31694009965416114,1.048056671801031,1.0954451150103321,0.31871180193608484,1.3872448935666277,4.3769939338075625,0.22411049369539748,0.7410879796983127,0.7745966692414833,0.9809302714073728,1.2909944487358058,0.2893254032641989,0.9567404678153552,1.2663755349838255,0.2714996795446846,True,True,true,
6,907,1498582897,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2+a,3+c,1+a,4+c,5+a,2-a,3-c,5-a,4-c",----,5,0,0.982575072930566,1.1555774940850554,1.1638936433898157,1.3458917106152135,1.369759673020243,0.6017226461781556,1.068816550997728,1.0954451150103324,0.24006495019748497,1.3648834773187237,2.268293350745211,0.4254821635060874,0.7557674310549108,0.7745966692414834,0.9651183623415448,1.2909944487358056,0.5492951111224592,0.9756915580272106,1.2459624481559262,0.07892016432525292,True,True,true,
6,908,2576573096,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-a,2+a,3+c,1+a,2-a,3-c",----,3,0,0.7424558256080916,1.0624012911799967,1.0832238481572252,1.2823875096412531,1.727223984795247,0.5320560074896945,1.0633023474941483,1.0954451150103321,0.2634162443993033,1.3104667452094363,2.4630240552914326,0.3762204108670035,0.751868300364687,0.7745966692414833,0.9266399220570559,1.2909944487358058,0.4856984619304055,0.9706578019512363,1.196286995352639,0.1304792522781993,True,True,true,
6,909,878146768,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1+a,2+c,2-c,1-a",----,2,0,0.8227457618227136,1.0745548476324587,1.08588170186157,1.3152912620763992,1.598660635045386,0.7058722103560623,1.0739547423941633,1.0954451150103321,0.21591945555944278,1.3727889717154074,1.944812320948197,0.49912702659390873,0.7594006810343646,0.7745966692414833,0.970708391038072,1.2909944487358058,0.6443702205467451,0.9803820635815551,1.2531791441714168,0.10035967485366454,True,True,true,
6,910,1463022005,haar,identified_unknot,false,0_1,0_1,1,"{""2"": ""1"", ""3"": ""1"", ""4"": ""1""}",0,0,"1-c,1+c",----,1,0,0.7554458932665354,1.0594244913954685,1.0828224731799474,1.3301371401799251,1.7607311814595143,0.2823997841358062,1.043582937978063,1.0954451150103321,0.3330685388340879,1.4127310046297286,5.002592367246094,0.19968680236804576,0.7379245721748685,0.7745966692414833,0.9989516733661649,1.2909944487358058,0.25779455334295104,0.9526565262634997,1.2896410648710628,0.1837620001022444,True,True,true,
