rank,signature,d_orbit_size,count,rate,wilson95_lower,wilson95_upper,check_count,label_counts,status_counts,mixed_labels
24,+++++-++---++++,12,8109,0.01621800,0.01587158,0.01657185,3,0_1:3,identified_unknot:3,False
25,+++++-++-+++-++,12,8108,0.01621600,0.01586960,0.01656983,3,0_1:3,identified_unknot:3,False
26,++++--++-++++++,6,5764,0.01152800,0.01123585,0.01182766,3,0_1:3,identified_unknot:3,False
27,++--+--++-+--+-,6,5748,0.01149600,0.01120425,0.01179525,3,0_1:3,identified_unknot:3,False
28,+++++-+++++++++,6,5710,0.01142000,0.01112922,0.01171829,3,0_1:3,identified_unknot:3,False
29,+++++-++++-++++,6,5709,0.01141800,0.01112725,0.01171626,3,0_1:3,identified_unknot:3,False
30,++++++-+++--+++,6,5675,0.01135000,0.01106011,0.01164739,3,0_1:3,identified_unknot:3,False
31,+++--+-++-+++--,6,5668,0.01133600,0.01104629,0.01163322,3,0_1:3,identified_unknot:3,False
32,+++++++++-+----,6,5658,0.01131600,0.01102655,0.01161296,3,0_1:3,identified_unknot:3,False
33,+++++-------+--,6,5658,0.01131600,0.01102655,0.01161296,3,0_1:3,identified_unknot:3,False
34,++++--++-+-++++,6,5651,0.01130200,0.01101273,0.01159878,3,0_1:3,identified_unknot:3,False
35,++--++-++-+--+-,6,5640,0.01128000,0.01099101,0.01157650,3,0_1:3,identified_unknot:3,False
36,+++--+--+-+++--,6,5615,0.01123000,0.01094165,0.01152586,3,0_1:3,identified_unknot:3,False
37,+++++-+-----+--,6,5594,0.01118800,0.01090019,0.01148332,3,0_1:3,identified_unknot:3,False
38,+++++++++-++---,6,5450,0.01090000,0.01061593,0.01119158,3,0_1:3,identified_unknot:3,False
39,+-++-+++-+-++-+,6,4200,0.00840000,0.00815078,0.00865678,3,0_1:3,identified_unknot:3,False
40,+++++---+---++-,6,4181,0.00836200,0.00811335,0.00861821,3,0_1:3,identified_unknot:3,False
41,+++++++++-+++--,6,4179,0.00835800,0.00810941,0.00861415,3,0_1:3,identified_unknot:3,False
42,++++---++--++--,6,4179,0.00835800,0.00810941,0.00861415,3,0_1:3,identified_unknot:3,False
43,++++----+--++--,6,4177,0.00835400,0.00810547,0.00861009,3,0_1:3,identified_unknot:3,False
44,++++--+--+-++++,6,4173,0.00834600,0.00809759,0.00860197,3,0_1:3,identified_unknot:3,False
45,++++++++--++--+,6,4161,0.00832200,0.00807395,0.00857761,3,0_1:3,identified_unknot:3,False
46,++++--+--++++++,6,4147,0.00829400,0.00804637,0.00854919,3,0_1:3,identified_unknot:3,False
47,++++--+--+--+--,6,4142,0.00828400,0.00803652,0.00853904,3,0_1:3,identified_unknot:3,False
48,+++++++++++++++,6,4089,0.00817800,0.00793212,0.00843144,3,0_1:3,identified_unknot:3,False
49,++--+--++-+-++-,6,4064,0.00812800,0.00788288,0.00838068,3,0_1:3,identified_unknot:3,False
50,+++++-++----+--,6,4062,0.00812400,0.00787894,0.00837662,3,0_1:3,identified_unknot:3,False
51,++++++++++-++++,6,4029,0.00805800,0.00781394,0.00830962,3,0_1:3,identified_unknot:3,False
52,+++++---++--++-,6,4021,0.00804200,0.00779819,0.00829337,3,0_1:3,identified_unknot:3,False
53,++++++--++--++-,6,3967,0.00793400,0.00769184,0.00818372,3,0_1:3,identified_unknot:3,False
54,+++++--+++--+++,6,3954,0.00790800,0.00766624,0.00815732,3,0_1:3,identified_unknot:3,False
55,+++--++--++++-+,12,2349,0.00469800,0.00451223,0.00489138,3,0_1:3,identified_unknot:3,False
56,+++++++++--++++,12,2323,0.00464600,0.00446128,0.00483833,3,0_1:3,identified_unknot:3,False
57,+++++-+---++-++,12,2316,0.00463200,0.00444756,0.00482405,3,0_1:3,identified_unknot:3,False
58,+++++++-----++-,12,2310,0.00462000,0.00443580,0.00481181,3,0_1:3,identified_unknot:3,False
59,+++++--+++++++-,12,2308,0.00461600,0.00443188,0.00480773,3,0_1:3,identified_unknot:3,False
60,+++++-+---+++++,12,2305,0.00461000,0.00442601,0.00480161,3,0_1:3,identified_unknot:3,False
61,+++++-++-+++-+-,12,2294,0.00458800,0.00440445,0.00477916,3,0_1:3,identified_unknot:3,False
62,+++++--+++--+-+,12,2293,0.00458600,0.00440249,0.00477712,3,0_1:3,identified_unknot:3,False
63,+++++---++-+++-,12,2290,0.00458000,0.00439661,0.00477100,3,0_1:3,identified_unknot:3,False
